"Arrogant","Creative","Confident","Desirable","Humorous","Decision","Female","Age","Rater.Age","word.count"
3,2,2,3,2,1,2,50,32,135
1,5,6,2,1,1,2,28,32,115
4,3,5,4,3,2,2,20,43,66
4,4,5,4,4,1,1,44,37,118
2,4,6,4,4,1,2,33,35,77
1,1,1,1,1,1,2,49,19,116
4,3,5,4,5,1,2,37,38,98
5,4,6,5,5,2,2,38,27,82
1,5,5,5,5,2,2,19,25,61
6,3,6,4,5,2,2,30,32,146
5,2,5,2,2,1,2,32,20,80
3,4,5,3,4,1,2,33,18,74
4,6,5,4,5,1,2,27,45,76
2,5,6,5,6,1,2,47,22,196
3,3,3,3,5,2,1,24,18,54
1,5,1,4,7,2,2,36,23,88
3,3,3,3,3,1,2,26,22,98
2,5,4,4,2,1,2,31,20,69
3,4,6,4,3,1,2,35,30,199
2,5,5,5,4,2,2,41,38,118
3,4,5,4,4,2,2,28,18,60
4,4,4,4,4,1,2,23,25,58
5,3,4,3,3,1,2,40,26,115
5,6,6,6,6,2,2,34,23,98
5,3,5,3,2,1,1,25,44,70
2,3,4,4,4,2,1,44,41,66
1,6,5,5,4,2,1,22,22,89
3,3,5,5,3,1,1,34,28,91
2,5,4,5,5,2,1,38,35,106
1,5,5,5,5,2,1,28,48,68
7,1,6,3,4,1,1,23,46,77
1,2,4,6,2,2,1,36,36,67
2,5,5,5,3,2,1,24,34,89
2,7,7,3,1,1,1,20,32,49
4,4,6,6,4,2,1,27,29,100
3,4,4,3,3,1,1,22,37,109
1,7,5,6,7,2,1,38,40,138
4,4,6,2,2,1,1,31,29,91
2,7,7,7,6,2,1,24,30,155
5,4,5,3,4,1,NA,NA,44,NA
3,3,3,4,3,2,1,25,36,96
5,4,5,2,4,1,1,37,21,143
3,7,6,5,6,2,1,22,30,82
2,5,4,6,4,2,1,34,37,94
2,3,3,3,4,1,1,35,38,49
4,5,5,5,5,2,1,38,29,60
6,4,5,2,3,1,1,21,25,140
1,4,5,6,2,2,1,26,50,95
4,4,6,4,4,1,1,21,26,113
2,5,6,5,4,2,1,29,35,107
1,6,7,4,4,1,1,31,31,231
3,3,4,3,3,1,1,22,49,178
2,7,6,5,5,2,1,29,26,59
1,4,6,5,3,2,1,22,35,82
3,2,5,3,3,1,1,18,32,103
3,4,7,4,3,1,1,24,38,50
1,6,4,6,6,2,1,31,21,81
4,5,6,5,5,2,1,28,32,110
2,4,4,2,4,1,1,38,27,121
3,5,6,5,5,2,1,31,35,121
6,3,5,3,3,1,1,23,27,102
2,3,3,3,4,2,1,28,27,39
3,6,6,7,6,2,1,24,18,131
4,5,5,4,6,2,1,19,36,243
3,5,6,6,5,2,1,40,39,80
1,4,4,4,3,1,1,30,31,37
1,6,6,6,6,2,1,28,37,190
4,7,7,6,5,2,1,30,37,126
3,4,4,6,4,2,1,21,46,73
1,2,5,5,2,1,1,37,33,65
4,6,6,5,5,2,1,24,25,113
5,3,6,4,5,2,1,30,31,63
1,5,5,6,5,2,1,20,41,165
2,6,5,4,4,2,1,28,35,122
3,5,6,5,4,2,1,34,28,110
2,6,6,5,5,2,1,26,34,155
