"pid","condition","ps.total_T1","ps.total_T2","ps.total_T3"
"ID_67",0,3.16666666666667,2.8,2.86666666666667
"ID_68",1,3.16666666666667,2.86666666666667,2.9
"ID_69",0,3.83333333333333,3.76666666666667,3.83333333333333
"ID_7",0,2.53333333333333,NA,NA
"ID_70",1,3.86666666666667,NA,NA
"ID_71",1,2.46666666666667,2.13333333333333,2.2
"ID_72",1,3.5,1.86666666666667,2.06666666666667
"ID_73",0,2.13333333333333,1.63333333333333,1.7
"ID_74",0,3.7,3.3,3.43333333333333
"ID_75",0,2.63333333333333,2.63333333333333,2.7
"ID_76",0,3.7,3.93333333333333,3.53333333333333
"ID_77",1,2.5,NA,NA
"ID_78",1,4.16666666666667,2.03333333333333,1.93333333333333
"ID_79",1,2.33333333333333,1.56666666666667,1.73333333333333
"ID_8",0,2.63333333333333,2.5,2.56666666666667
"ID_80",1,3.6,3,3.2
"ID_81",1,2.76666666666667,2.1,1.5
"ID_82",0,2.66666666666667,2.9,NA
"ID_83",1,2.26666666666667,1.46666666666667,1.4
"ID_84",0,3.66666666666667,3.66666666666667,3.8
"ID_85",0,3.9,NA,NA
"ID_86",0,3.13333333333333,3.03333333333333,2.83333333333333
"ID_87",1,3.3,2.46666666666667,2.7
"ID_88",1,3.33333333333333,2.7,2.33333333333333
"ID_89",1,3.36666666666667,1.73333333333333,2.1
"ID_9",1,2.86666666666667,NA,NA
"ID_90",0,3.26666666666667,NA,NA
"ID_91",1,4.73333333333333,3.63333333333333,3.33333333333333
"ID_92",1,2.6,2.46666666666667,2.33333333333333
"ID_93",0,2.43333333333333,2.66666666666667,3.33333333333333
"ID_94",0,2.9,2.76666666666667,2.33333333333333
"ID_95",0,3.36666666666667,2.6,3.16666666666667
"ID_96",0,3.76666666666667,3.33333333333333,3.76666666666667
"ID_97",0,2.93333333333333,2.83333333333333,2.76666666666667
"ID_98",1,3.2,3.16666666666667,2.73333333333333
"ID_99",1,4.13333333333333,2.86666666666667,3.3
